Image,Method,Parameters,PSNR,SSIM
camera,Noisy baseline,None,20.419341484278043,0.2950993169532115
camera,Spatial Median,kernel=3x3,25.712049785140092,0.493906784422504
camera,Spatial Median,kernel=5x5,26.213651817292085,0.6040458342680638
camera,Spatial Median,kernel=7x7,25.475800899447396,0.6441658656474729
camera,Spatial Median,kernel=9x9,24.40654752859262,0.6468731401215179
camera,Frequency Gaussian LPF,cutoff=10,20.540157497118216,0.571397368096711
camera,Frequency Gaussian LPF,cutoff=20,22.56535671794552,0.6268297685891007
camera,Frequency Gaussian LPF,cutoff=40,25.037366943365633,0.6879176196260265
camera,Frequency Gaussian LPF,cutoff=80,26.944206815370507,0.6402693446139995
coins,Noisy baseline,None,16.140071004413823,0.30793008293979096
coins,Spatial Median,kernel=3x3,28.074201287036054,0.8535910185183978
coins,Spatial Median,kernel=5x5,26.168193680363935,0.7710054247489421
coins,Spatial Median,kernel=7x7,25.1218802632949,0.7262118501761271
coins,Spatial Median,kernel=9x9,24.30385940071733,0.6936038052904591
coins,Frequency Gaussian LPF,cutoff=10,19.396299322456155,0.4628473082898165
coins,Frequency Gaussian LPF,cutoff=20,21.60525970048559,0.5584807603008957
coins,Frequency Gaussian LPF,cutoff=40,23.383997001630284,0.574793686611193
coins,Frequency Gaussian LPF,cutoff=80,22.499083134354176,0.4816417547923238
text,Noisy baseline,None,15.053239387485498,0.1680964396293644
text,Spatial Median,kernel=3x3,32.0093123397973,0.904323594397607
text,Spatial Median,kernel=5x5,28.511457932062306,0.8239737618325755
text,Spatial Median,kernel=7x7,25.481290382029126,0.7165922148970655
text,Spatial Median,kernel=9x9,23.75733089028815,0.6269726317870106
text,Frequency Gaussian LPF,cutoff=10,23.709583357343533,0.5778835856366016
text,Frequency Gaussian LPF,cutoff=20,25.589060573585947,0.6523755486943567
text,Frequency Gaussian LPF,cutoff=40,25.33292731294803,0.5465941762815942
text,Frequency Gaussian LPF,cutoff=80,21.260385174164536,0.350110277519829
rice,Noisy baseline,None,17.38687971109419,0.2940505309822669
rice,Spatial Median,kernel=3x3,23.026774543101464,0.46019489428573834
rice,Spatial Median,kernel=5x5,23.780201717318917,0.5392944476699879
rice,Spatial Median,kernel=7x7,23.335816813576432,0.5659160260847889
rice,Spatial Median,kernel=9x9,22.748745684228528,0.5644167974377754
rice,Frequency Gaussian LPF,cutoff=10,19.68573555017101,0.4630271540628077
rice,Frequency Gaussian LPF,cutoff=20,22.020709292754503,0.5730989129602642
rice,Frequency Gaussian LPF,cutoff=40,24.135748170119207,0.6167531227248255
rice,Frequency Gaussian LPF,cutoff=80,23.74514474957064,0.5053774792000366
astronaut,Noisy baseline,None,14.560048851705822,0.24241111903100646
astronaut,Spatial Median,kernel=3x3,30.317166190562745,0.9374745889321913
astronaut,Spatial Median,kernel=5x5,27.590085639521558,0.8926372064050082
astronaut,Spatial Median,kernel=7x7,25.71488012441089,0.8461209532197479
astronaut,Spatial Median,kernel=9x9,24.35837509684773,0.8018509149590499
astronaut,Frequency Gaussian LPF,cutoff=10,17.133597654041488,0.41877767763375057
astronaut,Frequency Gaussian LPF,cutoff=20,19.81872403409511,0.5282778312596315
astronaut,Frequency Gaussian LPF,cutoff=40,22.33243189232678,0.6044371438445002
astronaut,Frequency Gaussian LPF,cutoff=80,22.839568687921293,0.515026549496723
